participant_code,current_app,current_page,time_started_utc
suzgrazu,main_task,FinalResults,2025-04-18 10:23:09.647933
h4m11zlq,,,
hlv578p1,,,
lfs3wgz4,,,
ru3dlxbm,,,
j9cas1rm,main_task,FinalResults,2025-04-18 10:36:45.544502
jn3rwgwv,,,
paw14eso,,,
juxwmzcz,,,
m8wd2mow,,,
0s0qfp7p,task,SecondDecisions,2025-04-18 11:52:34.642092
ft43tza1,task,FirstDecisions,2025-04-18 12:25:58.338860
chur5ydx,task,Welcome,2025-04-18 12:26:24.451738
4tyj1loh,task,FirstDecisions,2025-04-18 12:26:28.352564
9m7kulvi,,,
zx6fy2dw,task,Comprehension,2025-04-18 12:38:13.482215
dxiy5huz,,,
42x1epbw,,,
r9exibvz,,,
g0bvtr5d,,,
